2025-09-06 11:19:28 - INCIDENT - Type: DDoS Attack, Severity: Medium, Status: Closed, System: db-server-02, Description: Incident detected on db-server-02 related to ddos attack.
2025-09-07 10:02:28 - INCIDENT - Type: Phishing Attempt, Severity: Critical, Status: Closed, System: webserver-01, Description: Incident detected on webserver-01 related to phishing attempt.
2025-09-07 04:51:28 - INCIDENT - Type: Malware Infection, Severity: Medium, Status: Closed, System: webserver-01, Description: Incident detected on webserver-01 related to malware infection.
2025-09-03 13:36:28 - INCIDENT - Type: Data Exfiltration, Severity: Low, Status: Investigating, System: user-workstation-10, Description: Incident detected on user-workstation-10 related to data exfiltration.
2025-09-07 09:38:28 - INCIDENT - Type: Data Exfiltration, Severity: High, Status: Investigating, System: db-server-02, Description: Incident detected on db-server-02 related to data exfiltration.
2025-09-01 13:08:28 - INCIDENT - Type: Malware Infection, Severity: High, Status: Closed, System: user-workstation-10, Description: Incident detected on user-workstation-10 related to malware infection.
2025-09-01 11:36:28 - INCIDENT - Type: Phishing Attempt, Severity: Low, Status: Closed, System: db-server-02, Description: Incident detected on db-server-02 related to phishing attempt.
2025-09-07 17:31:28 - INCIDENT - Type: Data Exfiltration, Severity: Low, Status: Closed, System: webserver-01, Description: Incident detected on webserver-01 related to data exfiltration.
2025-09-02 10:10:28 - INCIDENT - Type: Phishing Attempt, Severity: High, Status: Detected, System: firewall-01, Description: Incident detected on firewall-01 related to phishing attempt.
2025-09-04 12:45:28 - INCIDENT - Type: Data Exfiltration, Severity: High, Status: Remediated, System: db-server-02, Description: Incident detected on db-server-02 related to data exfiltration.
2025-09-04 14:25:28 - INCIDENT - Type: Data Exfiltration, Severity: Medium, Status: Closed, System: firewall-01, Description: Incident detected on firewall-01 related to data exfiltration.
2025-09-02 15:33:28 - INCIDENT - Type: Data Exfiltration, Severity: Low, Status: Detected, System: firewall-01, Description: Incident detected on firewall-01 related to data exfiltration.
2025-09-06 21:16:28 - INCIDENT - Type: Malware Infection, Severity: Low, Status: Remediated, System: user-workstation-10, Description: Incident detected on user-workstation-10 related to malware infection.
2025-09-06 17:26:28 - INCIDENT - Type: Malware Infection, Severity: Low, Status: Remediated, System: firewall-01, Description: Incident detected on firewall-01 related to malware infection.
2025-09-02 10:18:28 - INCIDENT - Type: Unauthorized Access, Severity: Critical, Status: Investigating, System: firewall-01, Description: Incident detected on firewall-01 related to unauthorized access.
2025-09-02 03:59:28 - INCIDENT - Type: DDoS Attack, Severity: Low, Status: Detected, System: firewall-01, Description: Incident detected on firewall-01 related to ddos attack.
2025-09-06 20:21:28 - INCIDENT - Type: Malware Infection, Severity: Low, Status: Closed, System: db-server-02, Description: Incident detected on db-server-02 related to malware infection.
2025-09-07 21:50:28 - INCIDENT - Type: Data Exfiltration, Severity: Critical, Status: Investigating, System: user-workstation-10, Description: Incident detected on user-workstation-10 related to data exfiltration.
2025-09-03 20:19:28 - INCIDENT - Type: DDoS Attack, Severity: High, Status: Closed, System: db-server-02, Description: Incident detected on db-server-02 related to ddos attack.
2025-09-02 07:12:28 - INCIDENT - Type: Malware Infection, Severity: Low, Status: Investigating, System: user-workstation-10, Description: Incident detected on user-workstation-10 related to malware infection.
2025-09-08 00:39:28 - INCIDENT - Type: Phishing Attempt, Severity: Medium, Status: Detected, System: webserver-01, Description: Incident detected on webserver-01 related to phishing attempt.
2025-09-05 22:58:28 - INCIDENT - Type: Data Exfiltration, Severity: Medium, Status: Investigating, System: webserver-01, Description: Incident detected on webserver-01 related to data exfiltration.
2025-09-08 01:12:28 - INCIDENT - Type: Unauthorized Access, Severity: Low, Status: Remediated, System: user-workstation-10, Description: Incident detected on user-workstation-10 related to unauthorized access.
2025-09-03 11:55:28 - INCIDENT - Type: Malware Infection, Severity: Critical, Status: Detected, System: webserver-01, Description: Incident detected on webserver-01 related to malware infection.
2025-09-05 16:01:28 - INCIDENT - Type: Phishing Attempt, Severity: Critical, Status: Closed, System: webserver-01, Description: Incident detected on webserver-01 related to phishing attempt.
2025-09-03 09:13:28 - INCIDENT - Type: DDoS Attack, Severity: Critical, Status: Detected, System: firewall-01, Description: Incident detected on firewall-01 related to ddos attack.
2025-09-04 09:25:28 - INCIDENT - Type: Phishing Attempt, Severity: Critical, Status: Detected, System: user-workstation-10, Description: Incident detected on user-workstation-10 related to phishing attempt.
2025-09-07 00:39:28 - INCIDENT - Type: Data Exfiltration, Severity: Critical, Status: Closed, System: webserver-01, Description: Incident detected on webserver-01 related to data exfiltration.
2025-09-05 05:28:28 - INCIDENT - Type: Unauthorized Access, Severity: High, Status: Investigating, System: db-server-02, Description: Incident detected on db-server-02 related to unauthorized access.
2025-09-02 23:47:28 - INCIDENT - Type: Unauthorized Access, Severity: High, Status: Closed, System: firewall-01, Description: Incident detected on firewall-01 related to unauthorized access.
